start year, end year, titles
0,99,"the 1st century, 1c, 1-c"
100,199,"the 2nd century, the 100s, 2c, 2-c"
200,299,"the 3rd century, the 200s, 3c, 3-c"
300,399,"the 4th century, the 300s, 4c, 4-c"
400,499,"the 5th century, the 400s, 5c, 5-c"
500,599,"the 6th century, the 500s, 6c, 6-c"
600,699,"the 7th century, the 600s, 7c, 7-c"
700,799,"the 8th century, the 700s, 8c, 8-c"
800,899,"the 9th century, the 800s, 9c, 9-c"
900,999,"the 10th century, the 900s, 10c, 10-c"
1000,1099,"the 11th century, the 1000s, 11c, 11-c"
1100,1199,"the 12th century, the 1100s, 12c, 12-c"
1200,1299,"the 13th century, the 1200s, 13c, 13-c"
1300,1399,"the 14th century, the 1300s, 14c, 14-c"
1400,1499,"the 15th century, the 1400s, 15c, 15-c"
1500,1599,"the 16th century, the 1500s, 16c, 16-c"
1600,1699,"the 17th century, the 1600s, 17c, 17-c"
1700,1799,"the 18th century, the 1700s, 18c, 18-c"
1800,1899,"the 19th century, the 1800s, 19c, 19-c"
1900,1999,"the 20th century, the 1900s, 20c, 20-c"
2000,2099,"the 21st century, 21c, 21-c"
1900,1999,"the 20th century, the 1900s"
1900,1909,"the 00s, the 19-oughts"
1910,1919,"the 10s, the 1910s"
1920,1929,"the 20s, the 1920s"
1930,1939,"the 30s, the 1930s"
1940,1949,"the 40s, the 1940s"
1950,1959,"the 50s, the 1950s"
1960,1969,"the 60s, the 1960s"
1970,1979,"the 70s, the 1970s"
1980,1989,"the 80s, the 1980s"
1990,1999,"the 90s, the 1990s"
2020,2023,"covid pandemic, covid 19 pandemic, covid-19 pandemic"
1939,1945,"world war ii, world war 2, wwii, ww2"
800,1806,holy roman empire
1929,1939,the great depression
1936,1939,the spanish civil war
1937,1945,the second sino-japanese war
-428,-348,plato lifetime
-384,-322,aristotle lifetime
-27,180,pax romana
1720,1770,"rococo period, rococo"
-403,-221,chinese period of warring states
-3000,-500,ancient egyptian civilization
-2575,-2150,egyptian old kingdom
-1975,-1640,egyptian middle kingdom
-1539,-1075,egyptian new kingdom
